threshold,coverage,precision,n_routed
0.168,1.0,0.8068003760576622,6382
0.17,1.0,0.8068003760576622,6382
0.172,1.0,0.8068003760576622,6382
0.174,1.0,0.8068003760576622,6382
0.176,1.0,0.8068003760576622,6382
0.178,1.0,0.8068003760576622,6382
0.18,1.0,0.8068003760576622,6382
0.182,1.0,0.8068003760576622,6382
0.184,1.0,0.8068003760576622,6382
0.186,1.0,0.8068003760576622,6382
0.188,1.0,0.8068003760576622,6382
0.19,1.0,0.8068003760576622,6382
0.192,1.0,0.8068003760576622,6382
0.194,1.0,0.8068003760576622,6382
0.196,1.0,0.8068003760576622,6382
0.198,1.0,0.8068003760576622,6382
0.2,1.0,0.8068003760576622,6382
0.202,1.0,0.8068003760576622,6382
0.204,1.0,0.8068003760576622,6382
0.206,1.0,0.8068003760576622,6382
0.208,1.0,0.8068003760576622,6382
0.21,1.0,0.8068003760576622,6382
0.212,1.0,0.8068003760576622,6382
0.214,1.0,0.8068003760576622,6382
0.216,1.0,0.8068003760576622,6382
0.218,1.0,0.8068003760576622,6382
0.22,1.0,0.8068003760576622,6382
0.222,1.0,0.8068003760576622,6382
0.224,1.0,0.8068003760576622,6382
0.226,1.0,0.8068003760576622,6382
0.228,1.0,0.8068003760576622,6382
0.23,1.0,0.8068003760576622,6382
0.232,1.0,0.8068003760576622,6382
0.234,1.0,0.8068003760576622,6382
0.236,1.0,0.8068003760576622,6382
0.238,1.0,0.8068003760576622,6382
0.24,1.0,0.8068003760576622,6382
0.242,1.0,0.8068003760576622,6382
0.244,1.0,0.8068003760576622,6382
0.246,1.0,0.8068003760576622,6382
0.248,1.0,0.8068003760576622,6382
0.25,1.0,0.8068003760576622,6382
0.252,1.0,0.8068003760576622,6382
0.254,1.0,0.8068003760576622,6382
0.256,1.0,0.8068003760576622,6382
0.258,1.0,0.8068003760576622,6382
0.26,1.0,0.8068003760576622,6382
0.262,1.0,0.8068003760576622,6382
0.264,0.9998433093074272,0.8069268139790001,6381
0.266,0.9996866186148543,0.8068965517241379,6380
0.268,0.9996866186148543,0.8068965517241379,6380
0.27,0.9995299279222815,0.8070230443643204,6379
0.272,0.9995299279222815,0.8070230443643204,6379
0.274,0.9995299279222815,0.8070230443643204,6379
0.276,0.9992165465371357,0.8071193351105536,6377
0.278,0.9990598558445628,0.8072459222082811,6376
0.28,0.9990598558445628,0.8072459222082811,6376
0.282,0.9987464744594171,0.8074992155632256,6374
0.284,0.9985897837668443,0.8076259218578378,6373
0.286,0.9984330930742714,0.8077526679221595,6372
0.288,0.9982764023816986,0.8078794537749175,6371
0.29,0.9981197116891256,0.8080062794348508,6370
0.292,0.9981197116891256,0.8080062794348508,6370
0.294,0.9981197116891256,0.8080062794348508,6370
0.296,0.9979630209965528,0.8079761344010049,6369
0.298,0.9978063303039799,0.8079459798994975,6368
0.3,0.9978063303039799,0.8079459798994975,6368
0.302,0.9974929489188342,0.8081998114985862,6366
0.304,0.9974929489188342,0.8081998114985862,6366
0.306,0.9971795675336885,0.8082966687617851,6364
0.308,0.996552804763397,0.8088050314465409,6360
0.31,0.996552804763397,0.8088050314465409,6360
0.312,0.9963961140708242,0.8089322220474917,6359
0.314,0.9959260419931056,0.8093140339836375,6356
0.316,0.9952992792228141,0.809823677581864,6352
0.318,0.9951425885302413,0.8097937332703511,6351
0.32,0.9949858978376684,0.8099212598425197,6350
0.322,0.9946725164525227,0.8100189035916824,6348
0.324,0.9943591350673769,0.810274188465175,6346
0.326,0.9943591350673769,0.810274188465175,6346
0.328,0.9943591350673769,0.810274188465175,6346
0.33,0.9942024443748041,0.810401891252955,6345
0.332,0.9938890629896584,0.8104997635188397,6343
0.334,0.9935756816045127,0.8105976975240499,6341
0.336,0.9935756816045127,0.8105976975240499,6341
0.338,0.993105609526794,0.8106658251814453,6338
0.34,0.9927922281416484,0.8107638888888888,6336
0.342,0.9923221560639298,0.8111479551555345,6333
0.344,0.9923221560639298,0.8111479551555345,6333
0.346,0.9920087746787841,0.8112462486179118,6331
0.348,0.9915387026010655,0.8114728192161821,6328
0.35,0.9915387026010655,0.8114728192161821,6328
0.352,0.9912253212159198,0.8117293708504584,6326
0.354,0.9910686305233469,0.8118577075098814,6325
0.356,0.9902851770604826,0.8123417721518987,6320
0.358,0.9902851770604826,0.8123417721518987,6320
0.36,0.9895017235976183,0.8126682501979414,6315
0.362,0.9891883422124725,0.8129257088547441,6313
0.364,0.9888749608273268,0.8131833306924418,6311
0.366,0.9884048887496083,0.813570069752695,6308
0.368,0.9877781259793168,0.8140862944162437,6304
0.37,0.987621435286744,0.8142154529589084,6303
0.372,0.9869946725164526,0.8144149865057946,6299
0.374,0.9866812911313068,0.8143560425599492,6297
0.376,0.9865246004387339,0.8144853875476493,6296
0.378,0.9860545283610154,0.8145558557126966,6293
0.38,0.9855844562832967,0.8149443561208267,6290
